employee_id,first_name,last_name,age,designation,date_of_birth,years_of_experience,salary,email,gender
STA-1,Spense,Addess,49,Product Manager,03-05-1992,14,81015.42,spense.addess@yahoo.co.in,female
STA-10,Francesca,Viccars,68,Business Analyst,24-06-1956,42,98919.41,francesca.viccars@yahoo.com,male
STA-100,Angelina,Reeves,65,Customer Support Representative,24-05-1969,36,66638.09,angelina.reeves@comcast.net,male
STA-11,Godfree,Emms,29,Sales Executive,08-08-1986,0,95936.17,godfree.emms@bigpond.net.au,female
STA-12,Lance,Philp,38,Business Analyst,16-08-1982,46,73963.29,lance.philp@yahoo.com,male
STA-13,Chrysler,Ropp,25,Project Manager,05-12-1966,4,76122.71,chrysler.ropp@hotmail.com,female
STA-14,Quint,Peeke-Vout,52,Quality Assurance Engineer,30-08-1981,35,89064.01,quint.peekevout@yahoo.com,male
STA-15,Shaun,Masham,23,Project Manager,24-01-1989,8,72167.29,shaun.masham@yahoo.co.in,female
STA-16,Prentice,Boards,50,Sales Executive,26-03-1966,11,85078.59,prentice.boards@hotmail.com,male
STA-17,Shanie,Eastgate,30,Software Engineer,17-02-1954,44,71596.33,shanie.eastgate@free.fr,female
STA-18,Germain,Trapp,48,Project Manager,17-03-1947,2,88959.31,germain.trapp@hotmail.fr,male
STA-19,Kerry,Forten,52,Software Engineer,21-12-2005,7,95784.96,kerry.forten@gmail.com,female
STA-2,Moss,Bellows,56,Product Manager,03-08-1965,46,70815.7,moss.bellows@facebook.com,male
STA-20,Bambie,Airton,64,Product Manager,23-03-2002,10,100622.02,bambie.airton@yahoo.com,male
STA-21,Axel,McHugh,54,Customer Support Representative,03-04-1946,11,89231.75,axel.mchugh@yahoo.com,female
STA-22,Sherie,Bolf,20,Customer Support Representative,05-06-1969,2,96688.08,sherie.bolf@yahoo.com,male
STA-23,Muire,McGavin,63,Marketing Coordinator,09-02-1946,18,84404.36,muire.mcgavin@free.fr,female
STA-24,Reider,Cardis,51,Quality Assurance Engineer,06-01-1979,16,101830.04,reider.cardis@hotmail.com,male
STA-25,Alexina,Rosser,64,Business Analyst,13-01-1946,25,81167.45,alexina.rosser@yahoo.com,female
STA-26,Ginnie,Norquoy,20,Customer Support Representative,28-03-1991,46,75669.45,ginnie.norquoy@mail.ru,male
STA-27,Vern,Gosney,57,Software Engineer,04-12-1949,28,104845.61,vern.gosney@cox.net,female
